slug,repo,worm_file,ts,mode,seed,population,generations,jitter,delta_linf,caos_ratio,sr,G,ece,rho_bias,fp,nov_last,nov_global,score,hash,gate_pass
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251001_230820_900637.json,2025-10-01 23:08:20,?,,,,,0.0032391515961090983,1.019254023565556,0.8656580423186203,0.8661591328729151,0.011357467263746007,1.0130033186074314,0.023019812748402792,,,0.7474243420694253,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251001_231748_468800.json,2025-10-01 23:17:48,?,,,,,0.003241467093012021,1.0193965135271739,0.8650556682994335,0.866297348121031,0.011354079700805755,1.0137522594890096,0.023027694137198445,,,0.7473600220243297,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251001_232453_893484.json,2025-10-01 23:24:53,?,,,,,0.0032422191795452833,1.019439134790268,0.8651575141884476,0.8663232721142707,0.011348224774918371,1.013600790411785,0.023026763055750576,,,0.7473949292714395,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251001_233201_321501.json,2025-10-01 23:32:01,?,,,,,0.0032414058726155425,1.019461778859603,0.8648867586499638,0.8658149873536708,0.011349919792771484,1.013320084534331,0.023027472534730038,,,0.7472432469144205,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251001_233901_741679.json,2025-10-01 23:39:01,?,,,,,0.003241372023678857,1.0190802073937242,0.8654235751551349,0.8663925653436635,0.011352206977576327,1.0137918519703468,0.023033285362847947,,,0.747388994749198,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251001_234613_173116.json,2025-10-01 23:46:13,?,,,,,0.0032417175153307038,1.0192031199130382,0.8649195637068016,0.8664288655085095,0.01135695895209627,1.0134621395891898,0.023026375544644737,,,0.747320319879062,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251001_235521_721604.json,2025-10-01 23:55:21,?,,,,,0.0032420435953390285,1.0190870502228133,0.8654321330712252,0.8664384622419241,0.011351574154224518,1.0137255275305301,0.023037693529249365,,,0.7474010110579129,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_000236_156935.json,2025-10-02 00:02:36,?,,,,,0.0032402558433522375,1.0192422911429668,0.8652491628228033,0.8661344702270964,0.011349064004869793,1.013873478180102,0.023024702694501617,,,0.7473358593373065,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_000924_564123.json,2025-10-02 00:09:24,?,,,,,0.0032408003778052895,1.01950904616366,0.8657187101535769,0.8663231598657024,0.01134810147067943,1.0132026685494628,0.023024540311933153,,,0.7475210791338878,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_001636_996173.json,2025-10-02 00:16:36,?,,,,,0.003240733242586967,1.0194486157595861,0.8649263880040085,0.8657445603888643,0.011349311184494405,1.0132725941449205,0.023038134162487133,,,0.7472333149443111,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_002356_436056.json,2025-10-02 00:23:56,?,,,,,0.0032405946994011133,1.0193462863992384,0.8650605581195386,0.865714757871979,0.011348203166933484,1.013591564182467,0.023034494821695062,,,0.7472341696191687,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_003254_974704.json,2025-10-02 00:32:54,?,,,,,0.003239563711452801,1.0190624956563228,0.865097561549816,0.8660150641264189,0.011347749847166886,1.0128839538143695,0.02302011912757179,,,0.7472461501113282,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_003938_378173.json,2025-10-02 00:39:38,?,,,,,0.0032404489471037252,1.0194807222609514,0.8648706575467231,0.8658795041352683,0.011349907419554373,1.013640363534707,0.023026343765338124,,,0.7472566414595201,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_004655_815039.json,2025-10-02 00:46:55,?,,,,,0.0032410967161812902,1.0193352592420413,0.865367539392676,0.8659568068948637,0.011350908061039102,1.0136368890859655,0.023025977530268478,,,0.7473424518900218,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_005358_238826.json,2025-10-02 00:53:58,?,,,,,0.0032397038330230217,1.0191915013366035,0.8656376680855612,0.86615948942722,0.011351298107080889,1.013061836993243,0.023023610360569782,,,0.7474081816897166,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_010112_672097.json,2025-10-02 01:01:12,?,,,,,0.003240787583766164,1.0191607986959033,0.8654023435871313,0.8664868063029617,0.011355384670531925,1.0136653789065542,0.023029730088695317,,,0.7474196357580298,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_011027_227282.json,2025-10-02 01:10:27,?,,,,,0.003241802144913788,1.0194079956471536,0.8654472345273394,0.8659371905357426,0.011354792612396683,1.0137137281703557,0.02303361425681318,,,0.747368003884109,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_011709_629601.json,2025-10-02 01:17:09,?,,,,,0.003241869169580804,1.0191105923437733,0.8650492255737672,0.865947917904309,0.011346973211193467,1.0133295541256604,0.02302565538204257,,,0.7472326581389626,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_012348_28880.json,2025-10-02 01:23:48,?,,,,,0.003240599609187724,1.0192018470821076,0.865054096418079,0.866160424544746,0.011346399801178905,1.0129715169886608,0.023020735871009355,,,0.7472946799636052,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_013039_439257.json,2025-10-02 01:30:39,?,,,,,0.0032416078085670047,1.0191405283221247,0.8651292967985281,0.8660498193252667,0.011346895964935612,1.01342166115749,0.023038309059675896,,,0.7472737299484362,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_013730_850401.json,2025-10-02 01:37:30,?,,,,,0.0032408345112559514,1.0192672662303948,0.8655330667164716,0.8659866487677798,0.011356987582820272,1.0138143606783976,0.023030898224670273,,,0.7473667746644315,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_014649_409640.json,2025-10-02 01:46:49,?,,,,,0.0032392841823132685,1.0191562699048908,0.8648979155795765,0.8661737248903965,0.011357240781541563,1.0129931253468487,0.023023018124149728,,,0.7472554130208664,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_015359_839654.json,2025-10-02 01:53:59,?,,,,,0.0032421727100996564,1.0193493250582475,0.8655180687562072,0.8659986404099076,0.011354587863371537,1.0135514522450395,0.02302279153383472,,,0.7473839034471719,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_020113_273248.json,2025-10-02 02:01:13,?,,,,,0.003241939259252391,1.0194556983300436,0.8649601917930674,0.8657573010678417,0.011356217652230072,1.0132209058657005,0.023019447323958726,,,0.7472454595924222,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_020813_693047.json,2025-10-02 02:08:13,?,,,,,0.003241238305257782,1.0193000470847604,0.8651554821947339,0.8661516070520412,0.011351100521293052,1.013603909997967,0.0230294244762432,,,0.7473316224276051,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_021515_115341.json,2025-10-02 02:15:15,?,,,,,0.0032406726124030133,1.0193413774405455,0.8651108034955026,0.8661969512205103,0.011355044272544712,1.0131207565614868,0.023038365689800222,,,0.7473386199575579,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_022446_686107.json,2025-10-02 02:24:46,?,,,,,0.0032397836660023687,1.0191656388064143,0.8651491764771436,0.8664704568377132,0.011354283042447597,1.0128773924661703,0.02302678829328745,,,0.7473669040238813,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_023144_104965.json,2025-10-02 02:31:44,?,,,,,0.0032420607353443485,1.0191908173303097,0.8649116665983407,0.8658343044422089,0.01135624693561557,1.013727595821061,0.023034084026624376,,,0.7471967367250167,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_023843_523230.json,2025-10-02 02:38:43,?,,,,,0.0032406373200784813,1.0193792031709012,0.864951511959172,0.8663581616332875,0.011354095658041985,1.0130978456136839,0.023020575669611496,,,0.7473484356839226,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_024548_948742.json,2025-10-02 02:45:48,?,,,,,0.0032419431383407813,1.0191114093459328,0.86548637739341,0.8664427540950982,0.011356985624367643,1.013460775562115,0.023038169222259434,,,0.7474169813098936,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_025254_374998.json,2025-10-02 02:52:54,?,,,,,0.0032393455220529666,1.0194143538257132,0.8653459498612542,0.8657398024685562,0.011346739760670969,1.0134668130902043,0.023039122279339453,,,0.7473093041315144,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_030248_968179.json,2025-10-02 03:02:48,?,,,,,0.0032423884581438095,1.019264330862801,0.8654955555431788,0.8658172283207008,0.011346931799442064,1.0137525629497393,0.02303765566137784,,,0.747325441890883,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_031002_402848.json,2025-10-02 03:10:02,?,,,,,0.0032401138746984345,1.0191657515874724,0.8651176576671689,0.8656889338968016,0.011355852609564322,1.0133318288940811,0.023023610583291658,,,0.7472045450859427,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_031731_851100.json,2025-10-02 03:17:31,?,,,,,0.00324175255624549,1.019058504114336,0.8656367361099591,0.8663283609006861,0.011347356289815631,1.013101164119472,0.02302221504257199,,,0.7474161136030065,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_032455_295866.json,2025-10-02 03:24:55,?,,,,,0.0032400812354329324,1.0190864151710761,0.8648653395699445,0.8659835503737051,0.01135107611505368,1.0137126489236932,0.023037458566599195,,,0.7471962238018663,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_033159_719847.json,2025-10-02 03:31:59,?,,,,,0.003242074625854739,1.0192920715714713,0.8652834450563391,0.8658613322865086,0.011349408055735756,1.013589216460427,0.02302569900652104,,,0.7472982740018093,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_034132_292327.json,2025-10-02 03:41:32,?,,,,,0.0032396006337023827,1.0194034584264526,0.8649186244161151,0.8657837981162687,0.01135323196433154,1.0132437526612448,0.02302521638977145,,,0.7472312514830974,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_034840_720868.json,2025-10-02 03:48:40,?,,,,,0.003239852298791118,1.019250324779978,0.8655724731790658,0.865765578947449,0.011350564759851536,1.013590607526824,0.023034953776166208,,,0.747327093987455,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_035605_165808.json,2025-10-02 03:56:05,?,,,,,0.003240253591842664,1.0194318372907674,0.8652668424325749,0.8656516700570763,0.011349889482628443,1.0133093109453635,0.023022901980460052,,,0.7472808415281434,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_040343_623855.json,2025-10-02 04:03:43,?,,,,,0.0032404098153064414,1.019397288172386,0.8650264591846561,0.8661482169466954,0.011348225129420068,1.013852314084528,0.023032978820657538,,,0.7473243544288012,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_041119_79637.json,2025-10-02 04:11:19,?,,,,,0.0032399649813747104,1.01908228978829,0.8652755255466417,0.8662938752781567,0.011346214437248528,1.0135741272066037,0.023021541097219624,,,0.7473415555654459,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_042124_684097.json,2025-10-02 04:21:24,?,,,,,0.003240619325726556,1.0191656736938703,0.8649959624677724,0.8661383488335951,0.011357481618943722,1.0132588260842426,0.023038259187564775,,,0.747268546783542,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_042854_134500.json,2025-10-02 04:28:54,?,,,,,0.0032397322893087128,1.0193002037056855,0.8650407015979642,0.8658447977446361,0.011348749614484333,1.013403285813044,0.023034428558184817,,,0.747246769250252,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_043604_564571.json,2025-10-02 04:36:04,?,,,,,0.003241696776963558,1.0193856751181531,0.865138445245263,0.8662892767103699,0.011353709782857362,1.0133504173941696,0.023025352238778253,,,0.7473731125679866,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_044319_999542.json,2025-10-02 04:43:19,?,,,,,0.0032400496652584118,1.0193519068912933,0.8649872008109462,0.8660591382025236,0.011347506361501647,1.013107462727199,0.0230373267331394,,,0.7472891758045401,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_045045_445018.json,2025-10-02 04:50:45,?,,,,,0.0032402691557699,1.019518085710336,0.8655911438090228,0.8660115336923578,0.011351261568904555,1.0133095110141945,0.02302620262621976,,,0.747434460053985,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_050053_53360.json,2025-10-02 05:00:53,?,,,,,0.0032404482787148346,1.0193668031327399,0.8656324061526859,0.8656678761689763,0.011350830236232288,1.01344979517144,0.02303097547655273,,,0.7473433261753449,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_050813_493806.json,2025-10-02 05:08:13,?,,,,,0.003241954205152733,1.0193618621999498,0.8654237302039592,0.8661448461845245,0.011350556439151156,1.0129324003693185,0.023035661628372634,,,0.7473958567519648,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_051547_947316.json,2025-10-02 05:15:47,?,,,,,0.0032398170251115754,1.019141312769525,0.8649476333382484,0.8657562043897132,0.011347687176231169,1.013278306627714,0.023034615208287094,,,0.7471787632660678,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_052325_405353.json,2025-10-02 05:23:25,?,,,,,0.0032422982378810215,1.0192666688174947,0.8651655255843327,0.86583866027813,0.011349770308578038,1.013348133920389,0.02303405846592949,,,0.747264247706117,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_053111_871700.json,2025-10-02 05:31:11,?,,,,,0.003240589315183311,1.0194271765397478,0.8653091269445315,0.8662627859627205,0.011353295959075645,1.0136631051103198,0.023022239202467067,,,0.7474103822362824,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_054047_447354.json,2025-10-02 05:40:47,?,,,,,0.003239766429477544,1.0191179204742855,0.864927811799528,0.8660001140716094,0.011346708548838591,1.0132685876225298,0.023024577925063263,,,0.74721999390759,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_054822_902290.json,2025-10-02 05:48:22,?,,,,,0.0032404999996616377,1.0194333444539017,0.8654264667190469,0.8663720180973716,0.01135158416909874,1.0134381804074803,0.023019203717774002,,,0.7474573870653092,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_055557_357731.json,2025-10-02 05:55:57,?,,,,,0.0032417154507232977,1.0193956413456688,0.8649382302515485,0.8656473542300922,0.011356101507881269,1.013580620866361,0.02303197675372714,,,0.7472057804294457,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_060347_827332.json,2025-10-02 06:03:47,?,,,,,0.0032412645030514887,1.0192181595244831,0.8653024879515567,0.8656673369777433,0.01134806763223849,1.0131016825765244,0.023026322343699033,,,0.7472484107937731,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_061134_294396.json,2025-10-02 06:11:34,?,,,,,0.0032420524395148837,1.0191463667347467,0.8657034232432302,0.8656739678800542,0.011349799751772865,1.013185859298281,0.02302752256849825,,,0.747315429827482,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_061918_758952.json,2025-10-02 06:19:18,?,,,,,0.0032408650278361586,1.0194101842616885,0.8649828478017052,0.866454723445778,0.011352649159757538,1.01360382789557,0.023030243706471797,,,0.7473794348207787,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_062550_150523.json,2025-10-02 06:25:50,?,,,,,0.003240400958309142,1.0193959561786836,0.8649752049785138,0.8662375663360786,0.011346193463937278,1.0133820066842296,0.023031516192706415,,,0.7473320547246527,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_063335_615096.json,2025-10-02 06:33:35,?,,,,,0.0032419391567550387,1.0194330469567865,0.8652448045040184,0.8664032362286785,0.011356742915449154,1.0130597558759515,0.02303884831989296,,,0.7474250462457134,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_063429_669041.json,2025-10-02 06:34:29,?,,,,,0.0032420688027149625,1.0191715902845402,0.8650992602497987,0.8661459012900634,0.011347381481603878,1.0138441406723113,0.023038453597600525,,,0.747293180617503,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_063907_947755.json,2025-10-02 06:39:07,?,,,,,0.0032419881667200665,1.019449588234744,0.86541887641128,0.8662015980248896,0.011357315431368177,1.0135580934717074,0.02303378924925632,,,0.7474232996994644,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_064542_342202.json,2025-10-02 06:45:42,?,,,,,0.0032396216518806933,1.0194723638437884,0.8657028249898111,0.8658097415917084,0.011351224411739339,1.0131141611561512,0.023022781944427466,,,0.7474075097798212,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_065219_739613.json,2025-10-02 06:52:19,?,,,,,0.0016612288313673953,1.010591176600906,0.8539612277096941,0.8633506946503265,0.011667754233726521,1.0141693855843164,0.02350163135058978,,,0.7423959270000272,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_065341_821098.json,2025-10-02 06:53:41,?,,,,,0.0032396018398506187,1.0191823116640966,0.8650820677712461,0.8662687047548235,0.011351211382192727,1.0132574647324706,0.023031255908908352,,,0.7473162904768933,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_070059_259549.json,2025-10-02 07:00:59,?,,,,,0.0032409431564622095,1.0190583843855472,0.8650987893930339,0.8659091104965128,0.011356263070966809,1.0131465455799247,0.023023293035017413,,,0.7472234898757129,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_070622_582483.json,2025-10-02 07:06:22,?,,,,,0.0016612288313673953,1.010591176600906,0.8539612277096941,0.8633506946503265,0.011667754233726521,1.0141693855843164,0.02350163135058978,,,0.7423959270000272,,True
github.com-danielgonzagat-camel,https://github.com/danielgonzagat/camel,fusion_github.com-danielgonzagat-camel_20251002_071146_906011.json,2025-10-02 07:11:46,?,,,,,0.0032407719798176805,1.0190227975031507,0.8652871180351771,0.8660689083284425,0.011351845604036464,1.0133796140100912,0.023027768406054694,,,0.7472859577683085,,False
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_163723_443005.json,2025-10-01 16:37:23,?,,,,,0.0032407719798176805,1.0190227975031507,0.8652871180351771,0.8660689083284425,0.011351845604036464,1.0133796140100912,0.023027768406054694,,,0.7472859577683085,,False
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_165109_269278.json,2025-10-01 16:51:09,?,,,,,0.0032422652651830117,1.0190388927339737,0.8653288727328688,0.8657892369156712,0.011357129775987464,1.0136709966681499,0.023025838426319712,,,0.7472415567093087,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_171039_439034.json,2025-10-01 17:10:39,?,,,,,0.003240846476614902,1.0195161720288048,0.8656553886485588,0.8656490934853636,0.011351762615421774,1.0131927979727278,0.023020905335599584,,,0.7473750333327663,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_174954_794766.json,2025-10-01 17:49:54,?,,,,,0.003239537634213202,1.01932902947154,0.8652892948857709,0.8660791476123874,0.01135593227512482,1.013099196220947,0.02301861801947507,,,0.7473499468913224,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_180724_844937.json,2025-10-01 18:07:24,?,,,,,0.003239537634213202,1.01932902947154,0.8652892948857709,0.8660791476123874,0.01135593227512482,1.013099196220947,0.02301861801947507,,,0.7473499468913224,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_182118_678294.json,2025-10-01 18:21:18,?,,,,,0.00324091329156724,1.0190366351438176,0.8654290737275085,0.8662234164932548,0.011355837914437297,1.0130007923551765,0.023034082444812625,,,0.7473470156953046,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_182753_73032.json,2025-10-01 18:27:53,?,,,,,0.0032415636418029552,1.0192278762102152,0.8648738273302661,0.8662239056913411,0.011354588929753074,1.0132670386786915,0.023028684251846156,,,0.7472751072565652,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_183433_473120.json,2025-10-01 18:34:33,?,,,,,0.003239987915724013,1.0191073539734559,0.8654341029753126,0.8656655631048648,0.01135158092423411,1.013023081860429,0.02303052646695712,,,0.7472511908547523,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_184104_864903.json,2025-10-01 18:41:04,?,,,,,0.0032416557246833393,1.0193432368089503,0.8649038411234148,0.8656436989248105,0.01134829344583597,1.0130001521721876,0.023034338821123716,,,0.747188223289676,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_184755_275267.json,2025-10-01 18:47:55,?,,,,,0.003240958367189996,1.0195148818541273,0.8654224423993213,0.8663656020678336,0.011348781037300729,1.0131915894462913,0.023036697696333586,,,0.747470229064331,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_185444_684012.json,2025-10-01 18:54:44,?,,,,,0.0032395657919248562,1.0193962897473507,0.8652123210028857,0.8661047749222833,0.011353453604735404,1.0132461916874425,0.023025888561830642,,,0.7473526560762322,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_185702_822779.json,2025-10-01 18:57:02,?,,,,,0.003239486714937149,1.0194186825714024,0.8652966365552197,0.8657025041456508,0.011356068482751879,1.0131284999836534,0.02302317895118981,,,0.7472935372540479,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_190349_229459.json,2025-10-01 19:03:49,?,,,,,0.0032411168788893975,1.0193964568220408,0.8649856279594481,0.8658633801701883,0.011348765956032328,1.0129838117623013,0.02303700945276849,,,0.7472587388252332,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_191058_658460.json,2025-10-01 19:10:58,?,,,,,0.003241820649621662,1.0195018412948702,0.8656825120994815,0.8658629175454535,0.011352401705661357,1.013069291390778,0.023030399408379313,,,0.7474195382064813,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_191744_64691.json,2025-10-01 19:17:44,?,,,,,0.0032396677611095945,1.0193890565672894,0.8652028744348926,0.8657885475795529,0.011352776278764055,1.0137566027924745,0.0230297002403539,,,0.7472857816166572,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_192429_469968.json,2025-10-01 19:24:29,?,,,,,0.003239937747068565,1.0191260019592827,0.8654130460426979,0.8663515475761198,0.011347261129808392,1.0135381803111485,0.02303676693423108,,,0.7473877038586298,,True
github.com-danielgonzagat-chinese-llm-benchmark,https://github.com/danielgonzagat/chinese-llm-benchmark,fusion_github.com-danielgonzagat-chinese-llm-benchmark_20251001_193114_874158.json,2025-10-01 19:31:14,?,,,,,0.0032407875847567202,1.0192525070536533,0.864900125047748,0.8658964346066433,0.011347397475268507,1.0129174981151334,0.023017938814439712,,,0.7472214372295896,,True
